Region,Provider,model_id,SUM of Tokens,SUM of cost $,,,Region,SUM of Tokens,SUM of cost $,% of Tokens Consumption,% of Cost
,,claude-sonnet-5,11716362797,"$6,418.65",,,,,,,
,,us.anthropic.claude-3-5-haiku-20241022-v1:0,53466392,$45.16,,,,,,,
,,us.anthropic.claude-3-5-sonnet-20240620-v1:0,166792159,$562.19,,,,,,,
,,us.anthropic.claude-3-5-sonnet-20241022-v2:0,1144711561,"$3,695.01",,,,,,,
,,us.anthropic.claude-3-7-sonnet-20250219-v1:0,2906886604,"$10,275.13",,,,,,,
,,us.anthropic.claude-3-haiku-20240307-v1:0,4168635,$1.08,,,,,,,
,,us.anthropic.claude-3-opus-20240229-v1:0,484127,$10.14,,,,,,,
,,us.anthropic.claude-3-sonnet-20240229-v1:0,2785548,$11.88,,,,,,,
,,us.anthropic.claude-haiku-4-5-20251001-v1:0,12208516147,"$7,088.99",,,,,,,
,,us.anthropic.claude-opus-4-1-20250805-v1:0,19823015,$327.25,,,,,,,
,,us.anthropic.claude-opus-4-20250514-v1:0,455644463,"$6,240.23",,,,,,,
,,us.anthropic.claude-opus-4-5-20251101-v1:0,266987867,"$1,851.85",,,,,,,
,,us.anthropic.claude-opus-4-6-v1,247170440556,"$360,580.79",,,,,,,
,,us.anthropic.claude-opus-4-7,167068408233,"$167,958.46",,,,,,,
,,us.anthropic.claude-opus-4-8,352161225227,"$374,039.55",,,,,,,
,,us.anthropic.claude-opus-5,33271297927,"$41,438.86",,,,,,,
,,us.anthropic.claude-sonnet-4-20250514-v1:0,5902169247,"$20,141.95",,,,,,,
,,us.anthropic.claude-sonnet-4-5-20250929-v1:0,12138251619,"$28,122.07",,,,,,,
,,us.anthropic.claude-sonnet-4-6,142290816875,"$157,165.19",,,,,,,
,,us.anthropic.claude-sonnet-5,11495999069,"$5,825.55",,,,,,,
,Anthropic Total,,3212623316490,"$3,608,278.18",,,,,,,
,OpenAI,dall-e-3,0,$287.60,,,,,,,
,,gpt-4.1-2025-04-14,17366795799,"$35,060.31",,,,,,,
,,gpt-4.1-mini-2025-04-14,8612416607,"$2,196.53",,,,,,,
,,gpt-4.1-nano-2025-04-14,20921822,$2.11,,,,,,,
,,gpt-4o-2024-05-13,219914908,"$1,276.45",,,,,,,
,,gpt-4o-2024-08-06,3182835409,"$8,648.07",,,,,,,
,,gpt-4o-2024-11-20,2958267541,"$5,643.61",,,,,,,
,,gpt-4o-mini-2024-07-18,3770623760,$586.82,,,,,,,
,,gpt-5-2025-08-07,7217240305,"$17,691.45",,,,,,,
,,gpt-5-mini-2025-08-07,2145834967,$893.43,,,,,,,
,,gpt-5-nano-2025-08-07,2852150,$0.23,,,,,,,
,,gpt-5.1-2025-11-13,1255001835,"$1,702.27",,,,,,,
,,gpt-5.2-2025-12-11,592984090,"$1,524.69",,,,,,,
,,gpt-5.4-2026-03-05,1285630193,"$4,563.36",,,,,,,
,,gpt-5.4-mini-2026-03-17,47595738,$54.16,,,,,,,
,,gpt-5.4-nano-2026-03-17,52797,$0.01,,,,,,,
,,gpt-5.5-2026-04-24,274267831,"$2,463.38",,,,,,,
